球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,71,29.3%,147.4,12,13,17,16,59.2%,28.6%,.368,19,7,1,6,0,0
カットボール,38,15.7%,137.4,6,7,8,7,55.3%,25.0%,.333,12,4,1,2,0,0
スライダー,27,11.2%,129.0,7,3,5,7,55.6%,41.2%,.000,7,0,0,2,2,0
フォーク,21,8.7%,133.9,7,1,7,6,71.4%,50.0%,.000,2,0,0,2,0,0
チェンジアップ,20,8.3%,129.9,5,1,5,7,55.0%,41.7%,.000,3,0,0,1,0,0
カーブ,19,7.9%,119.1,2,1,4,10,36.8%,25.0%,.250,4,1,0,2,0,0
スプリット,15,6.2%,134.2,3,1,2,3,40.0%,27.3%,.200,5,1,0,0,0,0
ツーシーム,13,5.4%,133.9,0,2,1,8,23.1%,0.0%,.500,2,1,0,0,0,0
シュート,10,4.1%,143.5,0,1,2,7,30.0%,0.0%,-,0,0,0,0,0,0
ナックルカーブ,4,1.7%,126.5,0,1,0,3,25.0%,-%,-,0,0,0,0,0,0
スラーブ,2,0.8%,106.5,1,0,1,0,100.0%,50.0%,-,0,0,0,0,0,0
スクリュー,1,0.4%,-,0,0,0,0,0.0%,0.0%,1.000,1,1,0,0,0,0
パーム,1,0.4%,117.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
