守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,.000,2,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,.255,17,53,51,3,13,2,0,1,18,2,13,2,0,0,0,0,0,0,1,.283,.353,0.636
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,.250,4,16,16,0,4,1,0,0,5,2,6,0,0,0,0,0,0,0,0,.250,.313,0.563
途中出場,.227,24,25,22,0,5,0,0,0,5,4,6,2,0,0,0,1,0,0,1,.280,.227,0.507
