球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
甲子園,.261,17,25,23,0,6,0,0,0,6,4,6,1,0,0,0,1,0,0,2,.280,.261,0.541
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,.000,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
マツダスタジアム,.214,6,15,14,2,3,0,0,1,6,1,3,1,0,0,0,0,0,0,0,.267,.429,0.695
神宮,.300,6,10,10,0,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0,.300,.300,0.6
バンテリンドーム,.222,6,11,9,0,2,1,0,0,3,0,2,2,0,0,0,0,0,0,0,.364,.333,0.697
Ce その他,.000,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.364,3,11,11,0,4,1,0,0,5,1,5,0,0,0,0,0,0,0,0,.364,.455,0.818
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.250,2,8,8,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.250,.250,0.5
京セラD大阪,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
ベルーナドーム,.167,3,12,12,0,2,1,0,0,3,1,4,0,0,0,0,0,0,0,0,.167,.250,0.417
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
