球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,189,48.3%,147.8,12,35,52,55,52.4%,12.1%,.250,44,11,1,9,4,0
スライダー,46,11.8%,130.7,6,9,6,15,45.7%,27.3%,.077,13,1,0,3,0,0
チェンジアップ,44,11.3%,127.7,11,5,7,12,52.3%,40.7%,.333,12,4,0,3,0,0
カーブ,28,7.2%,117.9,0,12,2,9,50.0%,0.0%,.200,5,1,0,1,0,0
カットボール,24,6.1%,138.4,7,0,6,9,54.2%,46.7%,.000,5,0,0,3,0,0
フォーク,18,4.6%,135.9,2,0,6,6,44.4%,16.7%,.800,5,4,0,1,0,0
スプリット,10,2.6%,139.1,4,0,4,1,80.0%,44.4%,.250,4,1,0,3,0,0
ツーシーム,10,2.6%,135.7,2,0,3,3,50.0%,28.6%,.000,3,0,0,1,0,0
ナックルカーブ,8,2.0%,128.0,0,2,4,2,75.0%,0.0%,.000,1,0,0,1,0,0
シュート,8,2.0%,137.9,1,0,0,4,12.5%,25.0%,.000,3,0,0,0,0,0
スクリュー,3,0.8%,136.7,0,0,0,3,0.0%,-%,-,0,0,0,0,0,0
縦スライダー,2,0.5%,122.0,1,0,0,1,50.0%,100.0%,.000,1,0,0,1,0,0
パーム,1,0.3%,113.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
